Day,Trophic,Species,Mesocosm,Replicate,Density,Origin
1,Control,Control,19,2,43.33333333,Control
1,Control,Control,29,1,445.3333333,Control
1,Control,Control,32,3,387.25,Control
1,Control,Control,35,4,195,Control
3,Control,Control,19,2,41.94666667,Control
3,Control,Control,29,1,1637.913333,Control
3,Control,Control,32,3,338.1733333,Control
3,Control,Control,35,4,222.1266667,Control
5,Control,Control,19,2,57.89333333,Control
5,Control,Control,29,1,1084.026667,Control
5,Control,Control,32,3,891.28,Control
5,Control,Control,35,4,121.7666667,Control
7,Control,Control,19,2,68.29333333,Control
7,Control,Control,29,1,1450.8,Control
7,Control,Control,32,3,568.7066667,Control
7,Control,Control,35,4,290.68,Control
9,Control,Control,19,2,147.16,Control
9,Control,Control,29,1,1051.526667,Control
9,Control,Control,32,3,644.8,Control
9,Control,Control,35,4,147.42,Control
11,Control,Control,19,2,254.3666667,Control
11,Control,Control,29,1,1944.886667,Control
11,Control,Control,32,3,472.68,Control
11,Control,Control,35,4,449.02,Control
13,Control,Control,19,2,146.9,Control
13,Control,Control,29,1,372.1466667,Control
13,Control,Control,32,3,182.9533333,Control
13,Control,Control,35,4,58.58666667,Control
15,Control,Control,19,2,194.5666667,Control
15,Control,Control,29,1,281.4066667,Control
15,Control,Control,32,3,287.56,Control
15,Control,Control,35,4,138.58,Control
17,Control,Control,19,2,148.8066667,Control
17,Control,Control,29,1,703.3866667,Control
17,Control,Control,32,3,325.78,Control
17,Control,Control,35,4,146.0333333,Control
19,Control,Control,19,2,354.2933333,Control
19,Control,Control,29,1,1325.74,Control
19,Control,Control,32,3,453.0066667,Control
19,Control,Control,35,4,378.82,Control
21,Control,Control,19,2,257.0533333,Control
21,Control,Control,29,1,493.74,Control
21,Control,Control,32,3,339.04,Control
21,Control,Control,35,4,229.84,Control
23,Control,Control,19,2,402.5666667,Control
23,Control,Control,29,1,733.0266667,Control
23,Control,Control,32,3,368.5933333,Control
23,Control,Control,35,4,380.9,Control
25,Control,Control,19,2,292.6733333,Control
25,Control,Control,29,1,676.26,Control
25,Control,Control,32,3,429.8666667,Control
25,Control,Control,35,4,104.6933333,Control
27,Control,Control,19,2,275.6,Control
27,Control,Control,29,1,1402.526667,Control
27,Control,Control,32,3,445.38,Control
27,Control,Control,35,4,205.8333333,Control
29,Control,Control,19,2,165.1,Control
29,Control,Control,29,1,387.7466667,Control
29,Control,Control,32,3,366.2533333,Control
29,Control,Control,35,4,54.08,Control
31,Control,Control,19,2,40.64666667,Control
