Mesocosm,Trophic,Species ,Length 
3,Predator,Virilis ,34.68
4,Omnivore,Virilis ,32.06
5,Predator,Virilis ,28.54
6,Omnivore,Propinquus,30.03
7,Omnivore,Limosus,20.53
9,Omnivore,Limosus,20.64
10,Omnivore,Propinquus,28.02
11,Omnivore,Rusticus ,27.46
12,Predator,Propinquus,24.76
13,Omnivore,Virilis ,30.27
14,Omnivore,Rusticus ,28.38
16,Omnivore,Propinquus,26.32
17,Predator,Rusticus ,28.77
18,Omnivore,Propinquus,26
20,Omnivore,Virilis ,32.44
21,Predator,Virilis ,29.83
22,Omnivore,Limosus,19.5
23,Predator,Limosus,23.51
24,Predator,Rusticus ,29.37
25,Omnivore,Rusticus ,31.16
26,Omnivore,Rusticus ,27.8
27,Predator,Virilis ,27.97
28,Predator,Limosus,25.1
30,Predator,Propinquus,26.18
31,Predator,Propinquus,26.58
33,Predator,Limosus,21.04
34,Omnivore,Limosus,22.85
36,Predator,Limosus,20.12
38,Omnivore,Virilis ,28.06
39,Predator,Propinquus,25.52
40,Predator,Rusticus ,29.17
