Mesocosm,Species,Trophic,Origin,d15C,d15N
4,Virilis,Omnivore,Native,-21.99,4.55
13,Virilis,Omnivore,Native,-24.63,5.56
20,Virilis,Omnivore,Native,-23.23,5.57
38,Virilis,Omnivore,Native,-23.32,5.27
3,Virilis,Predator,Native,-24.57,5.45
5,Virilis,Predator,Native,-26.54,7.01
21,Virilis,Predator,Native,-22.97,5.27
27,Virilis,Predator,Native,-25.37,5.76
6,Propinquus,Omnivore,Native,-23.7,6.45
10,Propinquus,Omnivore,Native,-22.42,5.49
16,Propinquus,Omnivore,Native,-22.26,6.86
18,Propinquus,Omnivore,Native,-24.01,5.15
12,Propinquus,Predator,Native,-24.51,5.13
30,Propinquus,Predator,Native,-23.52,5.79
32,Propinquus,Predator,Native,-23.76,5.84
39,Propinquus,Predator,Native,-24.61,7.01
7, Limosus,Omnivore,Invasive,-20.54,11.1
22, Limosus,Omnivore,Invasive,-22.23,11.08
34, Limosus,Omnivore,Invasive,-15.81,11.39
23, Limosus,Predator,Invasive,-21.05,10.92
28, Limosus,Predator,Invasive,-17.66,11.25
33, Limosus,Predator,Invasive,-21.04,11.42
36, Limosus,Predator,Invasive,-21.11,11.47
11,Rusticus,Omnivore,Invasive,-26.91,12.01
14,Rusticus,Omnivore,Invasive,-27.34,11.74
25,Rusticus,Omnivore,Invasive,-27.06,12.03
26,Rusticus,Omnivore,Invasive,-27.03,11.69
17,Rusticus,Predator,Invasive,-27.83,12.33
24,Rusticus,Predator,Invasive,-26.76,11.92
40,Rusticus,Predator,Invasive,-26.89,12.12
