Day,Trophic,Species,Origin,Mesocosm,Replicate,Density,Alive ,Consumed
1,Snail,Snail,NA,2,1,22,22,0
5,Snail,Snail,NA,2,1,21,21,1
9,Snail,Snail,NA,2,1,8,8,14
13,Snail,Snail,NA,2,1,9,9,13
17,Snail,Snail,NA,2,1,7,7,15
21,Snail,Snail,NA,2,1,11,11,11
25,Snail,Snail,NA,2,1,1,1,21
29,Snail,Snail,NA,2,1,4,4,18
33,Snail,Snail,NA,2,1,3,3,19
37,Snail,Snail,NA,2,1,8,8,14
41,Snail,Snail,NA,2,1,8,8,14
45,Snail,Snail,NA,2,1,6,6,16
49,Snail,Snail,NA,2,1,4,4,18
53,Snail,Snail,NA,2,1,2,2,20
57,Snail,Snail,NA,2,1,7,7,15
63,Snail,Snail,NA,2,1,5,5,17
1,Snail,Snail,NA,15,2,22,22,0
5,Snail,Snail,NA,15,2,27,27,-5
9,Snail,Snail,NA,15,2,18,18,4
13,Snail,Snail,NA,15,2,12,12,10
17,Snail,Snail,NA,15,2,7,7,15
21,Snail,Snail,NA,15,2,5,5,17
25,Snail,Snail,NA,15,2,5,5,17
29,Snail,Snail,NA,15,2,3,3,19
33,Snail,Snail,NA,15,2,3,3,19
37,Snail,Snail,NA,15,2,4,4,18
41,Snail,Snail,NA,15,2,2,2,20
45,Snail,Snail,NA,15,2,5,5,17
49,Snail,Snail,NA,15,2,2,2,20
53,Snail,Snail,NA,15,2,3,3,19
57,Snail,Snail,NA,15,2,7,7,15
63,Snail,Snail,NA,15,2,3,3,19
1,Snail,Snail,NA,37,3,15,15,0
5,Snail,Snail,NA,37,3,26,26,-11
9,Snail,Snail,NA,37,3,11,11,4
13,Snail,Snail,NA,37,3,10,10,5
17,Snail,Snail,NA,37,3,3,3,12
21,Snail,Snail,NA,37,3,5,5,10
25,Snail,Snail,NA,37,3,6,6,9
29,Snail,Snail,NA,37,3,7,7,8
33,Snail,Snail,NA,37,3,4,4,11
37,Snail,Snail,NA,37,3,5,5,10
41,Snail,Snail,NA,37,3,5,5,10
45,Snail,Snail,NA,37,3,5,5,10
49,Snail,Snail,NA,37,3,4,4,11
53,Snail,Snail,NA,37,3,4,4,11
57,Snail,Snail,NA,37,3,4,4,11
63,Snail,Snail,NA,37,3,4,4,11
1,Snail,Snail,NA,8,4,19,19,0
5,Snail,Snail,NA,8,4,19,19,0
9,Snail,Snail,NA,8,4,17,17,2
13,Snail,Snail,NA,8,4,13,13,6
17,Snail,Snail,NA,8,4,12,12,7
21,Snail,Snail,NA,8,4,12,12,7
25,Snail,Snail,NA,8,4,11,11,8
29,Snail,Snail,NA,8,4,7,7,12
33,Snail,Snail,NA,8,4,6,6,13
37,Snail,Snail,NA,8,4,2,2,17
41,Snail,Snail,NA,8,4,3,3,16
45,Snail,Snail,NA,8,4,4,4,15
49,Snail,Snail,NA,8,4,4,4,15
53,Snail,Snail,NA,8,4,4,4,15
57,Snail,Snail,NA,8,4,3,3,16
63,Snail,Snail,NA,8,4,5,5,14
1,Omnivore,Limosus,Invasive ,34,1,25,25,0
5,Omnivore,Limosus,Invasive ,34,1,12,12,13
9,Omnivore,Limosus,Invasive ,34,1,8,8,17
13,Omnivore,Limosus,Invasive ,34,1,6,6,19
17,Omnivore,Limosus,Invasive ,34,1,7,7,18
21,Omnivore,Limosus,Invasive ,34,1,5,5,20
25,Omnivore,Limosus,Invasive ,34,1,4,4,21
29,Omnivore,Limosus,Invasive ,34,1,0,0,25
33,Omnivore,Limosus,Invasive ,34,1,2,2,23
37,Omnivore,Limosus,Invasive ,34,1,2,2,23
41,Omnivore,Limosus,Invasive ,34,1,1,1,24
45,Omnivore,Limosus,Invasive ,34,1,0,0,25
49,Omnivore,Limosus,Invasive ,34,1,1,1,24
53,Omnivore,Limosus,Invasive ,34,1,0,0,25
57,Omnivore,Limosus,Invasive ,34,1,1,1,24
63,Omnivore,Limosus,Invasive ,34,1,0,0,25
1,Omnivore,Limosus,Invasive ,9,2,31,31,0
